14,"Fresho Banana - Raw Green, 1 kg","Fresho Banana - Raw Green, 1 kg",FRESH FRUITS,68,green banana unripened yellow banana superior supply fiber minerals vitamins contains starch rich vitamin b6 c fiber potassium performs like fiber starch resistant starch green bananas numerous health benefits product image shown representation purpose actually product may vary based season produce availability click delicious vegetable recipes https www bigbasket com flavors collections 227 fresh vegetables,5,https://www.bigbasket.com/media/uploads/p/s/10000167-4_2-fresho-banana-raw-green.jpg
15,"Fresho Banana - Raw Green, 500 g","Fresho Banana - Raw Green, 500 g",FRESH FRUITS,34,raw bananas unripened bananas tough green skin flesh white dense starchy tart flavour selectively pick organically grown raw green bananas best farms forget check delicious fruit recipe https www bigbasket com cookbook recipes 786 raw banana kofta,4,https://www.bigbasket.com/media/uploads/p/s/10000168-4_2-fresho-banana-raw-green.jpg
16,"Fresho Banana - Raw Green, 250 g","Fresho Banana - Raw Green, 250 g",FRESH FRUITS,17,raw bananas unripened bananas tough green skin flesh white dense starchy tart flavour selectively pick organically grown raw green bananas best farms forget check delicious fruit recipe https www bigbasket com cookbook recipes 786 raw banana kofta,4,https://www.bigbasket.com/media/uploads/p/s/10000169-4_2-fresho-banana-raw-green.jpg
17,"Fresho Cabbage - Red, 1 kg","Fresho Cabbage - Red, 1 kg",FRESH VEGETABLES,31,round wrapped purplish red leaf layers flavour peppery bold compared green ones leaves coarser less water content forget check delicious recipe https www bigbasket com cookbook recipes 1561 violet cabbage walnut salad,2,https://www.bigbasket.com/media/uploads/p/s/10000170-4_2-fresho-cabbage-red.jpg
18,"Fresho Cabbage - Red, 500 g","Fresho Cabbage - Red, 500 g",FRESH VEGETABLES,16,round wrapped purplish red leaf layers flavour peppery bold compared green ones leaves coarser less water content forget check delicious recipe https www bigbasket com cookbook recipes 1561 violet cabbage walnut salad,2,https://www.bigbasket.com/media/uploads/p/s/10000171-4_2-fresho-cabbage-red.jpg
19,"Fresho Capsicum - Red, 500 g","Fresho Capsicum - Red, 500 g",FRESH VEGETABLES,84,leaving sweet fruity flavour tastebuds red capsicums also known red bell peppers bell shaped medium sized fruit pods thick shiny skin fleshy texture inside red bell peppers ripened sweetest capsicums forget check delicious recipe https www bigbasket com cookbook recipes 2347 pro veg platter greek yogurt dip,0,https://www.bigbasket.com/media/uploads/p/s/10000172-4_4-fresho-capsicum-red.jpg
20,"Fresho Capsicum - Red, 250 g","Fresho Capsicum - Red, 250 g",FRESH VEGETABLES,42,leaving sweet fruity flavour tastebuds red capsicums also known red bell peppers bell shaped medium sized fruit pods thick shiny skin fleshy texture inside red bell peppers ripened sweetest capsicums forget check delicious recipe https www bigbasket com cookbook recipes 2347 pro veg platter greek yogurt dip,0,https://www.bigbasket.com/media/uploads/p/s/10000173-4_3-fresho-capsicum-red.jpg
21,"Fresho Radish - Red, 250 g","Fresho Radish - Red, 250 g",FRESH VEGETABLES,17,pinkish red cylindrical shaped red radishes taper white flesh juicy crispy radishes come tinge spiciness,0,https://www.bigbasket.com/media/uploads/p/s/10000174-4_1-fresho-radish-red.jpg
22,"Fresho Ridge Gourd, 1 kg","Fresho Ridge Gourd, 1 kg",FRESH VEGETABLES,42,ridge gourds long vegetables ridged dark green skin white spongy flesh contains numerous seeds inside rich fiber prominent indian cooking forget check delicious recipe https www bigbasket com cookbook recipes 1347 narkel diye jhinge ridge gourd subzi coconut,2,https://www.bigbasket.com/media/uploads/p/s/10000175-4_1-fresho-ridge-gourd.jpg
23,"Fresho Ridge Gourd, 500 g","Fresho Ridge Gourd, 500 g",FRESH VEGETABLES,22,ridge gourds long vegetables ridged dark green skin white spongy flesh contains numerous seeds inside rich fiber prominent indian cooking forget check delicious recipe https www bigbasket com cookbook recipes 1347 narkel diye jhinge ridge gourd subzi coconut,2,https://www.bigbasket.com/media/uploads/p/s/10000176-4_1-fresho-ridge-gourd.jpg
24,"Fresho Onion - Sambhar, 250 g","Fresho Onion - Sambhar, 250 g",FRESH VEGETABLES,69,also known button onions sambar onions relatively smaller onions mild flavour slightly sweet taste,0,https://www.bigbasket.com/media/uploads/p/s/10000178-3_1-fresho-onion-sambhar.jpg
25,"Fresho Onion - Sambhar, 500 g","Fresho Onion - Sambhar, 500 g",FRESH VEGETABLES,137,also known button onions sambar onions relatively smaller onions mild flavour slightly sweet taste,0,https://www.bigbasket.com/media/uploads/p/s/10000179-3_1-fresho-onion-sambhar.jpg
26,"Fresho Sapota, 1 kg","Fresho Sapota, 1 kg",FRESH FRUITS,52,brown skinned sapotas smooth grainy textured musky scented deliciously sweet taste flesh generally contains 2 3 large inedible black seeds fresho sapotas freshly plucked farmers best quality delivered forget check delicious fruit recipe https www bigbasket com cookbook recipes 1232 summer fruit salad,1,https://www.bigbasket.com/media/uploads/p/s/10000182-4_1-fresho-sapota.jpg
