,name,about,category,ing,score
151,"Fresho Tinda, 250 g",tinda small vegetable looks bigger green apple smaller pumpkin short squat like pumpkin tindas dark green stem white flesh tender tastes like cucumber seeds within edible forget check delicious recipe https www bigbasket com cookbook recipes 189 masala tinda,FRESH VEGETABLES,"Fresho Tinda, 250 g",2
152,"Fresho Yam - Elephant Foot, 500 g",yam edible starchy tuber elephant yams larger size features thick rough dark brown pink skin forget check delicious recipe https www bigbasket com cookbook recipes 794 aviall,FRESH VEGETABLES,"Fresho Yam - Elephant Foot, 500 g",0
153,"Fresho Yam - Elephant Foot, 1 kg",yam edible starchy tuber elephant yams larger size features thick rough dark brown pink skin forget check delicious recipe https www bigbasket com cookbook recipes 794 aviall,FRESH VEGETABLES,"Fresho Yam - Elephant Foot, 1 kg",0
154,"Fresho Papaya - Raw, 1 kg",fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund,FRESH VEGETABLES,"Fresho Papaya - Raw, 1 kg",3
155,"Fresho Carrot - Red, 1 kg",considered sweeter carrots red carrots contain pigment called lycopene also present tomatoes popular sweet tasting root vegetable carrots narrow cone shaped thick fleshy deeply colored root grows underground feathery green leaves emerge ground greens fresh tasting slightly bitter carrot roots crunchy textured sweet minty aromatic taste fresho brings flavour richness finest red crispy juicy carrots forget check delicious recipe https www bigbasket com cookbook recipes 1366 gajar ka halwa carrot halwa,FRESH VEGETABLES,"Fresho Carrot - Red, 1 kg",3
156,"Fresho Carrot - Red, 500 g",considered sweeter carrots red carrots contain pigment called lycopene also present tomatoes popular sweet tasting root vegetable carrots narrow cone shaped thick fleshy deeply colored root grows underground feathery green leaves emerge ground greens fresh tasting slightly bitter carrot roots crunchy textured sweet minty aromatic taste fresho brings flavour richness finest red crispy juicy carrots forget check delicious recipe https www bigbasket com cookbook recipes 1366 gajar ka halwa carrot halwa,FRESH VEGETABLES,"Fresho Carrot - Red, 500 g",3
157,"Fresho Orange - Kinnow, 500 g",lovely bright reddish glossy smooth skinned fruits called kinnows hybrids variety mandarin oranges juicier sweeter regular oranges extensively cultivated wider punjab region pakistan india simple peel section,FRESH FRUITS,"Fresho Orange - Kinnow, 500 g",0
158,"Fresho Orange - Kinnow, 1 kg",lovely bright reddish glossy smooth skinned fruits called kinnows hybrids variety mandarin oranges juicier sweeter regular oranges extensively cultivated wider punjab region pakistan india simple peel section,FRESH FRUITS,"Fresho Orange - Kinnow, 1 kg",0
159,"Fresho Ash Gourd, 250 g",powdery coating vegetable responsible name ash gourd round oblong shape ash gourds exterior skin vary dark green pale grey taste mild like cucumber soft chew,FRESH VEGETABLES,"Fresho Ash Gourd, 250 g",3
160,"Fresho Curry Leaves, 100 g",dark green glossy appearance curry leaves strong flavour release tasty aroma fried hot oil forget check delicious recipe https www bigbasket com cookbook recipes 742 curryleaves lemonade,HERBS & SEASONINGS,"Fresho Curry Leaves, 100 g",2
161,"Fresho Palak, 100 g",sweet nutty tangent flavour palaks green leafy vegetables succulent spoon shaped forget check delicious recipe https www bigbasket com cookbook recipes 2235 green detox smoothie,FRESH VEGETABLES,"Fresho Palak, 100 g",2
162,"Fresho Potato 1 kg + Onion 1 kg + Tomato 1 kg, 3 kg",potato tomato onion light extremely nutritional used cooking purposes one pack contains amount three vegetables separately handpicked day experienced technically expert buyers ensures fresh healthy nutrient dense delicious pack available,FRESH VEGETABLES,"Fresho Potato 1 kg + Onion 1 kg + Tomato 1 kg, 3 kg",3
163,"Fresho Apple - Ambri, 500 g",red blush colour faint stripes skin medium sized apples crispy crunchy aromatic sweet flavour fresho apples hand picked give best quality apples forget check delicious fruit recipe https www bigbasket com cookbook recipes 769 papaya halwa,FRESH FRUITS,"Fresho Apple - Ambri, 500 g",0
164,"Fresho Apple - Ambri, 1 kg",fresho product image shown representation purpose actually product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,FRESH FRUITS,"Fresho Apple - Ambri, 1 kg",0
165,"Fresho Apple - Kinnaur, 500 g approx. 4 to 5 nos",apple kinur fresh fruit extremely rich important antioxidants flavanoids dietary fiber rich source minerals calcium potassium phosphorus yummy eaten raw done variety ways fresh nutrient dense healthy delicious product product image shown representation purpose actually product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,FRESH FRUITS,"Fresho Apple - Kinnaur, 500 g approx. 4 to 5 nos",2
166,"Fresho Apple - Kinnaur, 1 kg approx. 7 to 8 nos",various kinds hybrid tomatoes available market unlike conventional tomatoes available throughout year big plus tomatoes firm juicy texture stays intact room temperature much longer compared regular tomatoes click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,FRESH FRUITS,"Fresho Apple - Kinnaur, 1 kg approx. 7 to 8 nos",0
167,"Fresho Apple - Green, 500 g approx. 3 to 4 nos",green apples certainly tasty juicy also offer countless medicinal values provides many health well cosmetic benefits green apples considerably benefits red ones important health cleanse tune detoxification program still sweet mixes well fruit vegetable juices product image shown representation purpose actually product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,FRESH FRUITS,"Fresho Apple - Green, 500 g approx. 3 to 4 nos",7
168,"Fresho Apple - Green, 1 kg approx. 6 to 7 nos",green apples strong time offer stomach sense happiness donã â â tend overeat consists high fiber content aids fitness benefits suggests bad cholesterol reduces weight still remains strong energy providers also carbohydrates especially good people playing form sport important excited life product image shown representation purpose actually product may vary based season produce availability,FRESH FRUITS,"Fresho Apple - Green, 1 kg approx. 6 to 7 nos",7
169,"Fresho Pear - Ya, 1 kg",shandong pears bell shaped fruits green slight yellowish color contains white cream colored flesh frequently brown colored speckles external surface like apples pears core many seeds crunchy juicy sweet taste smooth slightly grainy consistency ripe pear firm rock hard rich fragrance ripe product image shown representation purpose actually product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits,FRESH FRUITS,"Fresho Pear - Ya, 1 kg",2
170,"bb Royal Raw Rice - Sona Masoori, 10 kg Bag",sona masoori medium grain rice grown mostly indian states andhra pradesh karnataka lightweight sweet smelling measured finest quality distinctive taste matched rice region tastiest sona masoori rice available state click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Raw Rice - Sona Masoori, 10 kg Bag",0
171,"bb Popular Rice - Raw, Sona Masoori, 10 kg Bag",sona masoori raw rice contains less starch easily digestible rice lightweight distinct aroma making ideal preparing dishes like sweet pongal biryani fried rice etc finely processed remove foreign grains husk dust particles impurities rice grown without usage chemicals click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Popular Rice - Raw, Sona Masoori, 10 kg Bag",0
172,"bb Popular Rice - Steam, Sona Masoori, 10 kg Bag",sona masoori steam rice high grade sortexed clean quality light weight aromatic due fragrance considered superior quality comprises water soluble vitamins minerals proteins high nutritional value low amount starch delicious broken 2 max affordable price click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Popular Rice - Steam, Sona Masoori, 10 kg Bag",2
173,"bb Royal Sugar, 5 kg",sugar finished organic sugar cane grains light cream colored improved option opposed refined sugar pure white color immense supply energy necessary minerals harsh chemicals additives sugar sucrose becomes glucose sugars glycolic acid supportive retaining wellbeing look skin,"SALT, SUGAR & JAGGERY","bb Royal Sugar, 5 kg",4
174,"bb Royal Raw Rice - Kolam, 5 kg Bag",bb royal brings kolam rice selected finest farms across country rice grown mostly parts gujarat southern india known grainy texture fragrant taste rice eat every day high nutrition easily digestible click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Raw Rice - Kolam, 5 kg Bag",1
175,"bb Royal Rice - Dosa, 5 kg Pouch",bb royal rice dosa easy make premium dosa mix used make dosas minimum preparation fine quality mix makes flaky crispy rice dosa instantly consumed coconut chutney podi sambar also make idlis kanjis elders babies rice dosa mix click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Rice - Dosa, 5 kg Pouch",0
176,"bb Popular Rice - Raw, Sona Masoori, 5 kg Bag",sona masoori raw rice contains less starch easily digestible rice lightweight distinct aroma making ideal preparing dishes like sweet pongal biryani fried rice etc finely processed remove foreign grains husk dust particles impurities rice grown without usage chemicals click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Popular Rice - Raw, Sona Masoori, 5 kg Bag",0
177,"bb Royal Rice - Boiled, Tamil Ponni, 5 kg Bag",tamil ponny boiled rice clean pure main feature rice withstands extended shelf life relishes aroma given high nutrition value anyone diet attributed low glycemic index assists control diabetes obesity cholesterol cleaned packed hygienic facilities click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Rice - Boiled, Tamil Ponni, 5 kg Bag",3
178,"bb Popular Toor/Arhar Dal, 5 kg Pouch",toor dal processed superior technology original protein value kept best grain toor dal treasure flavor finest quality allows dual richness nutrition appetizing taste family fat free nature contains designed absorb various mixtures seasonings spices click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Popular Toor/Arhar Dal, 5 kg Pouch",2
179,"bb Popular Rice - Steam, Sona Masoori, 5 kg Bag",sona masoori steam rice high score sortexed clean quality light weight sweet smelling due aroma considered better quality includes water soluble vitamins proteins minerals contains high nutritional value low quantity starch tasty broken 2 max contains affordable price click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Popular Rice - Steam, Sona Masoori, 5 kg Bag",2
180,"bb Royal Idli Rice, 5 kg Pouch",idli rice wholesome rich supply fibers effortless digest strong great supply carbohydrates proteins light create jiffy minimal ingredients makes soft flaky rice flour idli flavor yummy chutney sambar even podi desired making dosas idlis well kanji babies elders click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Idli Rice, 5 kg Pouch",1
181,"bb Royal Rice - Raw, Sona Masoori, 5 kg Bag",sona masoori raw rice fine grains great taste cooked rice grown without chemical pesticides thereby retaining great flavour smell good supplier protein nutrients delicately processed eliminate husk foreign grains dust particles impurities click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Rice - Raw, Sona Masoori, 5 kg Bag",0
182,"bb Royal Maida, 1 kg Pouch",bb royal maida white flour ideal part cuisine including indian chinese italian maida sourced best wheat grains trying retain optimal fibre value able get quality flour especially self rising benefits click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Maida, 1 kg Pouch",2
183,"bb Royal Sooji Barik/ Chiroti, 500 g Pouch",chiroti sooji contains got high protein ratio utilized making pancakes halwa idli upama infant food uttapam many tasty recipes variety dishes completed chiroti sooji like obbattu roti karchikai etc chiroti sooji excellent health chiroti sooji contains various health benefits simple digest different types dishes prepared click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Sooji Barik/ Chiroti, 500 g Pouch",3
184,"bb Royal Moong - Green, Split/Chilka, 500 g Pouch",moong beans well liked food among vegetarians since includes lot proteins fiber one easiest dals digest reason frequently given people recovering illness specially stomach upset contains antioxidants extremely healthy good functioning human body excellent balanced diet could included daily click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Moong - Green, Split/Chilka, 500 g Pouch",6
185,"bb Royal Dry Red Chilli - With Stem, 200 g",hot peppery flavour distinctly pungent aroma fresho red chillies used popularly prepare many yummy dishes also add colour food thereby making look appealing fresho obtains premium quality red chillies reliable growers packs carefully avoid loss taste flavour nutritional value,MASALAS & SPICES,"bb Royal Dry Red Chilli - With Stem, 200 g",2
186,"bb Royal Rice - Flour, 500 g Pouch",rice flour one main foods addicted asian countries arranged grinding broken rice grains milling simple digest mild tastes gluten free quality offered crunchy light feel extruded snacks chips rice flour handy uses pancake mix baked snacks baby foods well crusts fried foods click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Rice - Flour, 500 g Pouch",0
187,"bb Royal Idli Sooji, 500 g Pouch",sooji idli fast becoming alternate rice idli prepare jiffy light tummy sooji idli eno prepared lunch box picnic even journey extremely famous recipe also rich supply fiber wheat goodness click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Idli Sooji, 500 g Pouch",0
188,"bb Royal Sooji Ordinary/Bombay Rava, 500 g Pouch",ordinary sooji tasty prepare enjoy comes use key ingredient different indian dishes utilized widely kitchen preparing number dishes rich fiber wholesome makes healthful strong good people diet hygienically processed guaranteed rich flavor taste click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Sooji Ordinary/Bombay Rava, 500 g Pouch",2
189,"bb Royal Sooji Ordinary/Bombay Rava, 1 kg Pouch",bb royal sooji semolina packed health benefits actually anything ordinary sourced finest durum wheat packaged hygenically doesnt get affected humidity click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Sooji Ordinary/Bombay Rava, 1 kg Pouch",3
190,"bb Royal Green Peas/Matar, 500 g Pouch",green peas small round green generally harvested early summer gives delicious taste fresh green peas low calories contain negligible amounts sodium fat cholesterol vitamins c k b6 present plenty click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Green Peas/Matar, 500 g Pouch",3
191,"bb Royal Toor Dal/Arhar Dal - Desi, 1 kg Pouch",bb royal toor dal procured directly farmers grown fertile soil hygienic environment dal cleaned packed bigbasket utmost care remove foreign materials preserve nutritional values simple cook delicious easily digestible well click delicious recipes https www bigbasket com flavors collections 225 staples click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Toor Dal/Arhar Dal - Desi, 1 kg Pouch",5
192,"bb Royal Dry Chilli - Cherry/Gundu, With Stem, 200 g",gundu chilli popular south indian dishes also utilized synthetic food colours individual red colour great blend colour pungency chilies wealthy vitamins vitamins b e c especially vitamin c minerals manganese potassium copper thiamin also,MASALAS & SPICES,"bb Royal Dry Chilli - Cherry/Gundu, With Stem, 200 g",0
193,"bb Popular Toor/Arhar Dal, 500 g Pouch",toor dal widely used form lentil used popular recipes like south india sambhar gujarati dals famous puran poli lots tasty dishes thick gelatinous meaty consistency takes little longer cook provides many nutrients body needs protein fat carbohydrates click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Popular Toor/Arhar Dal, 500 g Pouch",0
194,"bb Popular Toor/Arhar Dal, 1 kg Pouch",toor dal widely used form lentil used popular recipes tastes delicious cooked digested easily also long shelf life click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Popular Toor/Arhar Dal, 1 kg Pouch",1
195,"bb Royal Poha/Avalakki/Aval/Chivda - Thin, 500 g Pouch",avalakki thin fresh high nutritional value natural taste rich flavor provided hygienic qualitative packaging ensure safe transits used make various instant dishes flattened rice takes less time cook healthy snack owing fact lactose cholesterol sodium fat free click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Poha/Avalakki/Aval/Chivda - Thin, 500 g Pouch",4
196,"bb Royal Dry Red Chilli - Byadagi, Stemless, 200 g",byadgi chillies long crispy characteristically red coloured dried wrinkly skinned mildly hot tasting native byadgi district karnataka rich vitamins minerals,MASALAS & SPICES,"bb Royal Dry Red Chilli - Byadagi, Stemless, 200 g",0
197,"bb Royal Poha/Avalakki/Aval/Chivda - Thick, 1 kg Pouch",avalakki also known compressed rice beaten rice name recommends flakes completed flattening dehisced rice rigid bland tasting white grains make softer tend swell twice size soaked water avalakki considered strong include cholesterol saturated fat less sodium content compressed rice strong choice calorie normally used making breakfast dishes always strong choice avalakki usually soaked water soften inspired milk sugar cooked create poha desserts upma also fried create delicious snacks click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Poha/Avalakki/Aval/Chivda - Thick, 1 kg Pouch",1
198,"bb Royal Jeera/Jeeraga samba Rice, 1 kg Pouch",jeera rice zeera rice indian dish consisting tiny size famous dish north india everyday rice dish simple prepare unlike biryani finely processed eliminate foreign grains dust particles husk impurities contains good nutritional value high taste click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Jeera/Jeeraga samba Rice, 1 kg Pouch",0
199,"bb Royal Idli - Sooji, 1 kg Pouch",sooji idli fast becoming interchange rice idli completed jiffy light tummy also utilized major ingredient several foods sweet savory like upma rawa laddoo superior resource vitamin e b vitamins necessary vitamins strengthen immune system click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Idli - Sooji, 1 kg Pouch",2
200,"bb Royal Moong Dal, 1 kg Pouch",moong dal one popular lentils eaten across india packed protein bb royal moong dal packs deliver finest selection lentils evident shine lentils dal sourced directly farmers packed way retains maximum nutrient value click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Moong Dal, 1 kg Pouch",1
201,"bb Royal Rajma - Red, 500 g Pouch",bb royal red kidney beans rajma definitely fit kingly meal high taste packed protein bb royal red kidney beans selected finest growers air packed way provides optimal freshness opened click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Rajma - Red, 500 g Pouch",0
202,"bb Royal Horse Gram/Kulthi, 500 g Pouch",horse gram variety bean generally used many south indian dishes reddish oval shaped brown colored flattened glossy skinned lentil edible seeds nutritious used multiple cooking purposes click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Horse Gram/Kulthi, 500 g Pouch",0
203,"bb Royal Rajma - White/Chitra, 500 g Pouch",rajma white superior regular rajma soft feel delicate flavor white color pulses low fat cholesterol high dietary fiber rich protein normal antioxidants beans offer numerous health benefits finest quality free injurious chemicals powders click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Rajma - White/Chitra, 500 g Pouch",3
204,"bb Royal Red Lobia, 500 g Pouch",lobia chawli low bee aa ch ow lee aka black eyed bean china bean fairly bean want soak cooks effortlessly watch suspiciously cooking get mashed high cleanness outstanding taste high dietary value click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Red Lobia, 500 g Pouch",1
205,"bb Royal Masoor Dal, 500 g Pouch",bb royal brings finest quality masoor dal one used lentils indian kitchen split red lentils thoroughly cleaned vacuum packed directly use packet click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Masoor Dal, 500 g Pouch",1
206,"bb Royal Moong Dal, 500 g Pouch",moong dal sweet tasting yellow coloured split green moong beans husked high fibre protein vitamins b c e enormous source minerals potassium iron calcium contain low glycemic index almost fat content click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Moong Dal, 500 g Pouch",2
207,"bb Royal Peas/Matar - White, 500 g Pouch",peas white small nutritionally mighty member legume family fine supply cholesterol lowering fiber also provide good outstanding amounts four important protein two b vitamins minerals virtually fat high soluble fiber click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Peas/Matar - White, 500 g Pouch",0
208,"bb Royal Peanuts/ Mungaphali/Shengdana - Raw, 500 g Pouch",bb royal raw peanuts mungaphali shengdana comes hygienically packed 500 g packets raw peanuts great source monounsaturated fat kind fat makes mediterranean diet good heart oval shaped healthy nuts provide fibre raw version click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Peanuts/ Mungaphali/Shengdana - Raw, 500 g Pouch",2
209,"bb Royal Moong - Green, Whole/Sabut, 500 g Pouch",moong dal sugary flavor soft feel simple digest beans sprouted make bean sprouts vitamin c found dry bean moong bean flour utilized make bean threads click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Moong - Green, Whole/Sabut, 500 g Pouch",0
210,"bb Royal Toor Dal/Arhar Dal - Desi, 500 g Pouch",toor dal grown vigorous soil hygienic environment end rich supply protein simple digest cook yummy taste high dietary value trouble free cook property lentil properly cleaned free foreign material click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Toor Dal/Arhar Dal - Desi, 500 g Pouch",2
211,"bb Royal Rice - Boiled, Matta, Red, 1 kg Pouch",red rice like majority colored rice varieties rich fiber means satiates facilitates regulate weight cleanses colon toxins soaks cholesterol feeds fine bacteria intestines red rice proanthocyanidins plant pigments inform foods ruddy purplish color click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Rice - Boiled, Matta, Red, 1 kg Pouch",2
212,"bb Royal Peanuts/Mungaphali/Shengdana - Raw, 1 kg Pouch",raw peanuts unique health nut every oval shaped kernel seed comprised two white lobes enclosed brownish red skin b vitamins vitamin e protein fiber necessary minerals peanuts strong creamy nutty flavor click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Peanuts/Mungaphali/Shengdana - Raw, 1 kg Pouch",1
213,"bb Royal Sugar, 1 kg",bb royal sugar made fine quality sugar cane grains white color fine source energy essential minerals without additive,"SALT, SUGAR & JAGGERY","bb Royal Sugar, 1 kg",1
214,"bb Popular Rice - Raw, Sona Masoori, 1 kg Pouch",sona masoori raw rice daintily processed eliminate foreign grains dust particles husk extra impurities free fake colours injurious adulterants yummy flavour fine texture rice grown usage chemical pesticides hence great savour scent exceptional supply protein high nutrients click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Popular Rice - Raw, Sona Masoori, 1 kg Pouch",0
215,"bb Royal Rice - Dosa, 1 kg Pouch",dosa rice easy dosa recipe make jiffy minimum ingredients makes crispy flaky rice flour dosa flavor delectable sambar chutney even podi preferred making idlis dosas plus kanji elders babies easier digest improved terms nutrition raw rice click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Rice - Dosa, 1 kg Pouch",0
216,"bb Royal Idli Rice, 1 kg Pouch",idli rice good supply proteins carbohydrates nutritious rich supply fibers simple healthy digests light make jiffy minimum ingredients makes smooth flaky rice flour idli taste delicious sambar chutney even podi preferred making idlis dosas well kanji elders babies easier digest better terms nutrition raw rice click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Idli Rice, 1 kg Pouch",2
217,"bb Popular Rice - Steam, Sona Masoori, 1 kg Pouch",sona masoori steam rice sweet smelling due smell considered better quality short grain rice length 5 mm max cooking 8mm high dietary value low amount starch yummy broken 2 max reasonable price click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Popular Rice - Steam, Sona Masoori, 1 kg Pouch",1
218,"bb Royal Raw Rice - Kolam, 1 kg Pouch",bb royal kolam rice good healthy hearty life non sticky soft textured kolam rice house bb royal amazing flavor delicious taste click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Raw Rice - Kolam, 1 kg Pouch",3
219,"bb Royal Poha /Avalakki/Aval/Chivda -Thick, 500 g Pouch",avalakki also known flattened rice beaten rice name suggests flakes made flattening dehusked rice considered healthy contain cholesterol saturated fat could used make various breakfasts well snack dishes click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Poha /Avalakki/Aval/Chivda -Thick, 500 g Pouch",3
220,"bb Royal Rice - Boiled, Sona Masoori, 1 kg Pouch",sona masoori boiled rice light weight aromatic rice low starch significant non basmati rice well liked preparation rice porridge many indian festivals give musty smell cooking adulteration free makes popular hygienic simple digest click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Rice - Boiled, Sona Masoori, 1 kg Pouch",0
221,"bb Royal Basmati Rice, 1 kg Pouch",basmati rice long grained range rice native india rigid white thin long grains contain characteristically fragrant aroma basmati rice comparatively includes less sugar content general basmati rice high carbohydrates protein gluten free contains almost cholesterol minerals vitamin b iron also present plenty carbohydrate content verifies instant provider energy trouble free digest verifies staple solution gluten intolerant people vitamins present permit enhanced functioning digestive nervous system body also encourages healthy skin click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Basmati Rice, 1 kg Pouch",4
222,"bb Royal Wheat Broken/Dalia, 500 g Pouch",broken wheat cracked wheat commonly known couscous prepared whole raw wheat grains milled undergo fine processing bb royal wheat broken dalia extremely nutritious cook favourite vegetables gives away warm hearty flavour taste grainy faintly nutty subtly chewy click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Wheat Broken/Dalia, 500 g Pouch",0
223,"bb Royal Rice - Raw, Sona Masoori, 1 kg Pouch",sona masoori raw rice fine grains great taste cooked rice grown without chemical pesticides thereby retaining great flavour smell good supplier protein nutrients delicately processed eliminate husk foreign grains dust particles impurities click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Rice - Raw, Sona Masoori, 1 kg Pouch",0
224,"bb Royal Rice - Flour, 1 kg Pouch",rice flour made grounded raw rice perfect substitute wheat flour sometimes may trigger irritation digestive system staple southeast asia japan southern india rice flour used several recipes thickening agent also preferred ingredient gluten free baked products unique sandy texture click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Rice - Flour, 1 kg Pouch",0
225,"bb Royal Sugar, 2 kg",bb royal sugar made fine quality sugar cane grains white color fine source energy essential minerals without additive,"SALT, SUGAR & JAGGERY","bb Royal Sugar, 2 kg",1
226,"bb Royal Rice - Boiled, Tamil Ponni, 1 kg Pouch",tamil ponni boiled rice fresh cleaned packed hygienic facilities relishing flavor provides high nutrition value anyone diet click unique delicious recipes https www bigbasket com flavors collections 233 rice rice products,RICE & RICE PRODUCTS,"bb Royal Rice - Boiled, Tamil Ponni, 1 kg Pouch",1
227,"bb Royal Channa - Kabuli, 500 g Pouch",kabuli channa garbanzo beans pale brown colored sensitive bland starchy tasting spongy creamy textured legumes wealthy source minerals magnesium phosphorous calcium iron potassium importantly molybdenum utilized make delicacies like falafels curried chole hummus click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Channa - Kabuli, 500 g Pouch",0
228,"bb Royal Urad Dal - Split, 1 kg Pouch",urad dal split skinned fawn colored lentil strong flavor split half urad dal includes fat protein carbohydrates body requires rich vitamins dietary fibers also improve digestion aids reducing cholesterol develops cardiovascular health click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Urad Dal - Split, 1 kg Pouch",1
229,"bb Royal Fried Gram/Bengal Gram, 500 g Pouch",fried gram one significant pulses india used form whole dried seeds form dhal arranged splitting seeds mill separating husk makes great strong snack go low fat calories high protein fiber click unique delicious recipes https www bigbasket com flavors collections 230 dals pulses,DALS & PULSES,"bb Royal Fried Gram/Bengal Gram, 500 g Pouch",0
230,"bb Royal Sooji - Bansi, 500 g Pouch",bansi sooji wealthy fiber healthful bansi sooji creates healthy strong good people diet bansi sooji utilized widely kitchen preparing amount dishes tasty prepare enjoy delicious dessert halwa major course meal bansi sooji comes utilize main ingredient variety indian dishes click unique delicious recipes https www bigbasket com flavors collections 232 flours sooji,"ATTA, FLOURS & SOOJI","bb Royal Sooji - Bansi, 500 g Pouch",2
