,name,about,category,ing,score
85,"Fresho Water Melon - Regular, 1 kg",fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund,FRESH FRUITS,"Fresho Water Melon - Regular, 1 kg",3
86,"Fresho Water Melon - Regular, 2 kg",fresho brand fresh fruits vegetables individually handpicked everyday experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund,FRESH FRUITS,"Fresho Water Melon - Regular, 2 kg",3
87,"Fresho Amla, 250 g",light green translucent skin amla indian gooseberries small round crisp juicy berries blend sour bitter taste flesh astringent,ORGANIC FRUITS & VEGETABLES,"Fresho Amla, 250 g",2
88,"Fresho Amla, 500 g",indian gooseberry amla undeniably powerhouse nutrients common ingredient ancient indian medicinal practice ayurveda fruit ripens autumn wet forested hilly areas india india considered sacred tree,ORGANIC FRUITS & VEGETABLES,"Fresho Amla, 500 g",2
89,"Fresho Grapes - Sharad Seedless, 500 g",velvety colored deliciously sweet juicy fresho black seedless grapes individually handpicked everyday farmers handled keeping freshness intact organically grown black grapes best farms grapes rich vitamin c k along flavonoids minerals help boosting immunity healthy snack kids forget check delicious fruit recipe https www bigbasket com cookbook recipes 2251 fruit punch,EXOTIC FRUITS & VEGGIES,"Fresho Grapes - Sharad Seedless, 500 g",5
90,"Fresho Grapes - Sharad Seedless, 1 kg",made tiring task choosing unspoiled fresh grapes effortless fresho sharad seedless purple black coloured medium sized oval shaped finely graded grapes tender crisp juicy sweet grapes make mid morning snack interesting forget check delicious fruit recipe https www bigbasket com cookbook recipes 2096 fruits mithai cheese masti,EXOTIC FRUITS & VEGGIES,"Fresho Grapes - Sharad Seedless, 1 kg",0
91,"Fresho Watermelon - Striped, Large, 1 pc 3.5kg -5 kg",attractive external surface pale green stripes dark green skin fresho striped watermelons sweet juicy best way beat summer heat freshly picked directly farmers flesh fruit pinkish red black seeds even thick rind edible cooking forget check delicious fruit recipe https www bigbasket com cookbook recipes 1181 watermelon mocktail,FRESH FRUITS,"Fresho Watermelon - Striped, Large, 1 pc 3.5kg -5 kg",3
92,"Fresho Banganapalli Mango, 1 kg",banganpalli sourced andhra pradesh known unique sweet rich taste moderately juicy aromatic maize yellow colour click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits calcium carbide used ripening process mangoes,FRESH FRUITS,"Fresho Banganapalli Mango, 1 kg",0
93,"Fresho Banganapalli Mango - Economy, 2 kg",fresho brand fresh fruits vegetables individually handpicked every day experienced technically competent buyers buying storing packaging processes tailored ensure fresh nutrient dense healthy delicious produce reaches doorstep guarantee quality fresho products satisfied freshness items hand back customer experience executive cee full refund product image shown representation purpose actual product may vary based season produce availability click delicious fruit recipes https www bigbasket com flavors collections 228 fresh fruits calcium carbide used ripening process mangoes,FRESH FRUITS,"Fresho Banganapalli Mango - Economy, 2 kg",3
94,"Fresho Raspuri/Gola Mango, 1 kg",popularly grown mysore region karnataka raspuri mangoes juicy flesh rich sweet taste excellent flavour source best raspuri mangoes directly farmers mysore karnataka never miss mangoes season forget check delicious fruit recipe https www bigbasket com cookbook recipes 1450 aamras carbide used ripening process mangoes,FRESH FRUITS,"Fresho Raspuri/Gola Mango, 1 kg",1
