,name,price,img,about,ing,category
"Fresho Palak, 100 g","Fresho Palak, 100 g",7.50,https://www.bigbasket.com/media/uploads/p/s/10000389-4_1-fresho-palak.jpg,"
            With a sweet, nutty and tangent flavour, Palaks are green leafy vegetables that are succulent and spoon shaped.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2235/green-detox-smoothie/ 
","Fresho Palak, 100 g",FRESH VEGETABLES
"Fresho Potato 1 kg + Onion 1 kg + Tomato 1 kg, 3 kg","Fresho Potato 1 kg + Onion 1 kg + Tomato 1 kg, 3 kg",88,https://www.bigbasket.com/media/uploads/p/s/10000392_2-fresho-potato-1-kg-onion-1-kg-tomato-1-kg.jpg,"
            Potato + Tomato + Onion is a light, extremely nutritional and used for all cooking purposes. One pack contains the same amount of all three vegetables. These are separately handpicked each day by our experienced and technically expert buyers. This ensures that only the fresh, healthy, nutrient dense and delicious pack is available.
        ","Fresho Potato 1 kg + Onion 1 kg + Tomato 1 kg, 3 kg",FRESH VEGETABLES
"Fresho Apple - Ambri, 500 g","Fresho Apple - Ambri, 500 g",62.50,https://www.bigbasket.com/media/uploads/p/s/10000393-3_1-fresho-apple-ambri.jpg,"
            With a red blush colour and faint stripes on the skin, these medium-sized apples are crispy, crunchy, aromatic and have a sweet flavour. Fresho apples are hand picked to give you the best quality apples Do not forget to check our delicious fruit recipe - 
https://www.bigbasket.com/cookbook/recipes/769/papaya-halwa/ 
","Fresho Apple - Ambri, 500 g",FRESH FRUITS
"Fresho Apple - Ambri, 1 kg","Fresho Apple - Ambri, 1 kg",111.25,https://www.bigbasket.com/media/uploads/p/s/10000394-3_1-fresho-apple-ambri.jpg,"
            Fresho  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/ 
","Fresho Apple - Ambri, 1 kg",FRESH FRUITS
"Fresho Apple - Kinnaur, 500 g approx. 4 to 5 nos","Fresho Apple - Kinnaur, 500 g approx. 4 to 5 nos",110,https://www.bigbasket.com/media/uploads/p/s/10000395-2_17-fresho-apple-kinnaur.jpg,"
            Apple kinur is a fresh fruit extremely rich in important antioxidants, flavanoids, and dietary fiber. It is a rich source of Minerals such as calcium, potassium, and phosphorus. It is very yummy and can be eaten raw or done in a variety of ways. It is fresh, nutrient dense, healthy and delicious product.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/ 
","Fresho Apple - Kinnaur, 500 g approx. 4 to 5 nos",FRESH FRUITS
"Fresho Apple - Kinnaur, 1 kg approx. 7 to 8 nos","Fresho Apple - Kinnaur, 1 kg approx. 7 to 8 nos",219,https://www.bigbasket.com/media/uploads/p/s/10000396-2_16-fresho-apple-kinnaur.jpg,"
            Various kinds of hybrid tomatoes are now available in the market, which unlike conventional tomatoes are available throughout the year. A big plus of these tomatoes is their firm and juicy texture, which stays intact at room temperature for much longer as compared to regular tomatoes. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/ 
","Fresho Apple - Kinnaur, 1 kg approx. 7 to 8 nos",FRESH FRUITS
"Fresho Apple - Green, 500 g approx. 3 to 4 nos","Fresho Apple - Green, 500 g approx. 3 to 4 nos",127.50,https://www.bigbasket.com/media/uploads/p/s/10000397-4_1-fresho-apple-green.jpg,"
            Green Apples are certainly tasty and juicy and also offer countless medicinal values. It provides many health as well as cosmetic benefits. Green Apples have considerably more benefits than the red ones. It is important to any health, cleanse, tune-up, or detoxification program. It is still sweet and mixes well with other fruit and vegetable juices.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/ 
","Fresho Apple - Green, 500 g approx. 3 to 4 nos",FRESH FRUITS
"Fresho Apple - Green, 1 kg approx. 6 to 7 nos","Fresho Apple - Green, 1 kg approx. 6 to 7 nos",255,https://www.bigbasket.com/media/uploads/p/s/10000398-4_1-fresho-apple-green.jpg,"
            Green Apples are very strong and at the same time offer your stomach a sense of happiness and you donÃ¢â‚¬â„¢t tend to overeat. It consists of high fiber content which aids in fitness benefits. It suggests no bad cholesterol that reduces their weight and still remains strong. These are energy providers as they also have carbohydrates and are especially good for people playing any form of sport or important a excited life.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability.
        ","Fresho Apple - Green, 1 kg approx. 6 to 7 nos",FRESH FRUITS
"Fresho Pear - Ya, 1 kg","Fresho Pear - Ya, 1 kg",155,https://www.bigbasket.com/media/uploads/p/s/10000399_13-fresho-pear-ya.jpg,"
            Shandong Pears are bell shaped fruits with green - slight yellowish color. It contains white or cream-colored flesh. They frequently have brown colored speckles on their external surface. Like apples, pears have a core with many seeds. It has crunchy, juicy and sweet taste & a smooth, slightly grainy consistency. A ripe pear is firm but not rock hard and have a rich fragrance when ripe.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious fruit recipes - https://www.bigbasket.com/flavors/collections/228/fresh-fruits/ 
","Fresho Pear - Ya, 1 kg",FRESH FRUITS
"bb Royal Raw Rice - Sona Masoori, 10 kg Bag","bb Royal Raw Rice - Sona Masoori, 10 kg Bag",617,https://www.bigbasket.com/media/uploads/p/s/10000404-5_5-bb-royal-raw-rice-sona-masoori.jpg,"
Sona Masoori is medium-grain rice grown-up mostly in the Indian states of Andhra Pradesh and Karnataka. It is lightweight and sweet-smelling and measured to be of the finest quality. It has a distinctive taste that is not matched by rice from any other region. It is the tastiest of all the Sona Masoori rice available in the state.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
","bb Royal Raw Rice - Sona Masoori, 10 kg Bag",RICE & RICE PRODUCTS
"bb Popular Rice - Raw, Sona Masoori, 10 kg Bag","bb Popular Rice - Raw, Sona Masoori, 10 kg Bag",582,https://www.bigbasket.com/media/uploads/p/s/10000405-5_4-bb-popular-rice-raw-sona-masoori.jpg,"
Sona Masoori Raw Rice contains less starch and is easily digestible. The rice is lightweight and has a distinct aroma making it ideal for preparing dishes like sweet pongal, biryani, fried rice etc. It is finely processed to remove foreign grains, husk, dust particles and other impurities. This rice is grown without the usage of any chemicals.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
","bb Popular Rice - Raw, Sona Masoori, 10 kg Bag",RICE & RICE PRODUCTS
"bb Popular Rice - Steam, Sona Masoori, 10 kg Bag","bb Popular Rice - Steam, Sona Masoori, 10 kg Bag",625,https://www.bigbasket.com/media/uploads/p/s/10000406-2_4-bb-popular-rice-steam-sona-masoori.jpg,"
            Sona Masoori Steam Rice is a high grade sortexed clean quality with light weight aromatic and due to its fragrance, it is considered to be of superior quality. It comprises of water-soluble vitamins, minerals and proteins. It has high nutritional value and low amount of starch. It is delicious and broken of only 2% max which has affordable price.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Popular Rice - Steam, Sona Masoori, 10 kg Bag",RICE & RICE PRODUCTS
"bb Royal Sugar, 5 kg","bb Royal Sugar, 5 kg",230,https://www.bigbasket.com/media/uploads/p/s/10000407-5_2-bb-royal-sugar.jpg,"
            Sugar is finished from organic sugar cane, the grains are light cream colored. It is an improved option as opposed to refined sugar that is pure white in color. It is an immense supply of energy and has necessary minerals with no harsh chemicals or additives. Sugar is sucrose that becomes glucose. Sugars glycolic acid can be very supportive in retaining the wellbeing and look of your skin.
        ","bb Royal Sugar, 5 kg","SALT, SUGAR & JAGGERY"
"bb Royal Raw Rice - Kolam, 5 kg Bag","bb Royal Raw Rice - Kolam, 5 kg Bag",269,https://www.bigbasket.com/media/uploads/p/s/10000408-5_2-bb-royal-raw-rice-kolam.jpg,"
            BB Royal brings you Kolam rice that has been selected from the finest farms across the country. This rice is grown mostly in parts of Gujarat and southern India and is known for its grainy texture and fragrant taste. This is rice that you can eat every day because it is high on nutrition and easily digestible.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Raw Rice - Kolam, 5 kg Bag",RICE & RICE PRODUCTS
"bb Royal Rice - Dosa, 5 kg Pouch","bb Royal Rice - Dosa, 5 kg Pouch",215,https://www.bigbasket.com/media/uploads/p/s/10000409-6_2-bb-royal-rice-dosa.jpg,"
            bb Royal Rice Dosa is an easy-to-make premium dosa mix which can be used to make dosas with minimum preparation. This fine quality mix makes flaky, crispy rice dosa instantly which can be consumed with coconut chutney and podi or sambar. You can also make idlis and kanjis for elders and babies from this rice dosa mix.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Rice - Dosa, 5 kg Pouch",RICE & RICE PRODUCTS
"bb Popular Rice - Raw, Sona Masoori, 5 kg Bag","bb Popular Rice - Raw, Sona Masoori, 5 kg Bag",303,https://www.bigbasket.com/media/uploads/p/s/10000410-6_9-bb-popular-rice-raw-sona-masoori.jpg,"
            Sona Masoori Raw Rice contains less starch and is easily digestible. The rice is lightweight and has a distinct aroma making it ideal for preparing dishes like sweet pongal, biryani, fried rice etc. It is finely processed to remove foreign grains, husk, dust particles and other impurities. This rice is grown without the usage of any chemicals.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Popular Rice - Raw, Sona Masoori, 5 kg Bag",RICE & RICE PRODUCTS
"bb Royal Rice - Boiled, Tamil Ponni, 5 kg Bag","bb Royal Rice - Boiled, Tamil Ponni, 5 kg Bag",305,https://www.bigbasket.com/media/uploads/p/s/10000411-6_2-bb-royal-rice-boiled-tamil-ponni.jpg,"
            Tamil Ponny Boiled Rice is clean and pure. The main feature of this rice is that it withstands extended shelf life. It relishes in aroma, given that a high nutrition value to anyone's diet. It can be attributed for its low glycemic index which assists in the control of diabetes, obesity & cholesterol. It is cleaned and packed at our hygienic facilities.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/
        ","bb Royal Rice - Boiled, Tamil Ponni, 5 kg Bag",RICE & RICE PRODUCTS
"bb Popular Toor/Arhar Dal, 5 kg Pouch","bb Popular Toor/Arhar Dal, 5 kg Pouch",497,https://www.bigbasket.com/media/uploads/p/s/10000412-6_8-bb-popular-toorarhar-dal.jpg,"
            Toor Dal is processed with the most superior technology so that the original protein value is kept at its best; each grain of toor dal is the treasure of flavor of finest quality. It allows you with the dual richness of nutrition and appetizing taste for your family. It is fat free and nature contains designed it to absorb various mixtures of seasonings and spices.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/
        ","bb Popular Toor/Arhar Dal, 5 kg Pouch",DALS & PULSES
